排名   名称                                                 高效   智能   深度   广度   博学   进化   总分   字数     路径
--------------------------------------------------------------------------------------------------------------------------------------------
1    explain-code                                       1    1    1    1    1    1    6    21     C:\Users\TL\.openclaw\workspace-main\skills\explain-code\SKILL.md
2    feishu-bitable                                     2    1    1    2    1    1    8    34     C:\Users\TL\.openclaw\skills\feishu-bitable\SKILL.md
3    douyin-downloader                                  3    1    1    2    1    1    9    56     C:\Users\TL\.openclaw\workspace-main\skills\douyin-downloader\SKILL.md
4    learning                                           3    1    1    1    2    1    9    126    C:\Users\TL\.openclaw\workspace-main\skills\learning\SKILL.md
5    minimax-tts                                        3    1    1    2    1    1    9    80     C:\Users\TL\.openclaw\workspace-main\skills\minimax-tts\SKILL.md
6    knowledge-graph                                    4    1    1    1    2    1    10   162    C:\Users\TL\.openclaw\workspace-main\skills\knowledge-graph\SKILL.md
7    persona-exec-assistant                             4    1    1    1    2    1    10   190    C:\Users\TL\.openclaw\workspace-main\skills\persona-exec-assistant\SKILL.md
8    image-read                                         3    1    1    3    2    1    11   115    C:\Users\TL\.openclaw\workspace-main\skills\image-read\SKILL.md
9    mbb-strategist                                     4    2    1    1    2    1    11   196    C:\Users\TL\.openclaw\workspace-main\skills\mbb-strategist\SKILL.md
10   persona-researcher                                 4    1    1    1    3    1    11   155    C:\Users\TL\.openclaw\workspace-main\skills\persona-researcher\SKILL.md
11   personal-productivity                              4    1    2    1    2    1    11   296    C:\Users\TL\.openclaw\skills\personal-productivity\SKILL.md
12   ppt-generator                                      5    1    1    1    2    1    11   189    C:\Users\TL\.openclaw\workspace-main\skills\ppt-generator\SKILL.md
13   document-processor                                 4    1    2    1    3    1    12   366    C:\Users\TL\.openclaw\workspace-main\skills\document-processor\SKILL.md
14   fluid-memory                                       4    2    1    2    2    1    12   198    C:\Users\TL\.openclaw\skills\fluid-memory\SKILL.md
15   rupert-data-analysis                               3    2    1    1    2    3    12   130    C:\Users\TL\.openclaw\workspace-main\skills\rupert-data-analysis\SKILL.md
16   watermark                                          4    1    2    2    2    1    12   241    C:\Users\TL\.openclaw\workspace-main\skills\watermark\SKILL.md
17   brave-search                                       4    2    2    2    2    1    13   177    C:\Users\TL\.openclaw\workspace-main\skills\brave-search\SKILL.md
18   chart                                              4    2    2    2    2    1    13   232    C:\Users\TL\.openclaw\skills\chart\SKILL.md
19   chart-generator                                    4    1    3    2    2    1    13   282    C:\Users\TL\.openclaw\skills\chart-generator\SKILL.md
20   coding-assistant                                   4    1    2    2    2    2    13   131    C:\Users\TL\.openclaw\workspace-main\skills\coding-assistant\SKILL.md
21   healthy-eating                                     4    1    2    1    3    2    13   315    C:\Users\TL\.openclaw\workspace-main\skills\healthy-eating\SKILL.md
22   pdf-toolkit-pro                                    4    1    3    2    2    1    13   226    C:\Users\TL\.openclaw\workspace-main\skills\pdf-toolkit-pro\SKILL.md
23   web-design-guidelines                              4    1    1    2    4    1    13   176    C:\Users\TL\.openclaw\workspace-main\skills\web-design-guidelines\SKILL.md
24   web-researcher                                     5    1    1    2    3    1    13   165    C:\Users\TL\.openclaw\workspace-main\skills\web-researcher\SKILL.md
